epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.322,1.94888,2.47352,1.7305,0.21448,0.09619,0.07192,0.02625,2.15973,3.51065,2.15247,0.000328042,0.000328042,0.0675238
2,101.933,1.90802,1.88487,1.70056,0.44089,0.39679,0.36586,0.14993,2.00121,2.09935,1.78358,0.000628638,0.000628638,0.0344911
3,161.365,1.84592,1.7684,1.61983,0.40999,0.38878,0.35107,0.13544,1.99403,2.24903,1.79646,0.000896233,0.000896233,0.00142533
4,221.826,1.84624,1.72855,1.64258,0.5298,0.43086,0.46106,0.1996,1.95965,1.87872,1.74537,0.0008515,0.0008515,0.0008515
5,272.947,1.81274,1.69003,1.62968,0.46395,0.48898,0.43936,0.18284,1.95398,1.90372,1.74233,0.000802,0.000802,0.000802
6,328.596,1.81844,1.66423,1.62779,0.51995,0.44088,0.45985,0.20758,1.91948,1.79983,1.70695,0.0007525,0.0007525,0.0007525
7,377.275,1.75434,1.58638,1.56781,0.50749,0.55511,0.51694,0.2242,1.85757,1.68887,1.65454,0.000703,0.000703,0.000703
8,444.368,1.72546,1.55861,1.54619,0.55715,0.58745,0.56841,0.2522,1.808,1.61163,1.6137,0.0006535,0.0006535,0.0006535
9,504.615,1.75014,1.52192,1.55265,0.58462,0.52179,0.54501,0.2475,1.85374,1.61156,1.63109,0.000604,0.000604,0.000604
10,553.401,1.67211,1.47182,1.51519,0.56194,0.51303,0.52674,0.24174,1.83383,1.6019,1.63935,0.0005545,0.0005545,0.0005545
11,627.762,1.66631,1.50387,1.52108,0.55297,0.50501,0.52274,0.23868,1.81507,1.61293,1.60789,0.000505,0.000505,0.000505
12,685.687,1.6279,1.42977,1.51527,0.60429,0.55711,0.55873,0.2508,1.82097,1.55562,1.60485,0.0004555,0.0004555,0.0004555
13,742.237,1.62706,1.37547,1.51233,0.59014,0.53507,0.56353,0.27759,1.76257,1.55415,1.57219,0.000406,0.000406,0.000406
14,797.126,1.60366,1.35824,1.48418,0.60709,0.57284,0.5913,0.27501,1.78857,1.49083,1.59644,0.0003565,0.0003565,0.0003565
15,852.047,1.59871,1.30622,1.48573,0.60852,0.56313,0.58836,0.28159,1.735,1.45719,1.55544,0.000307,0.000307,0.000307
16,907.323,1.57664,1.29204,1.47447,0.59174,0.61122,0.61909,0.29565,1.73751,1.39793,1.54222,0.0002575,0.0002575,0.0002575
17,965.25,1.54825,1.2565,1.43086,0.64399,0.60902,0.6339,0.31717,1.69758,1.37675,1.49817,0.000208,0.000208,0.000208
18,1023.08,1.5119,1.22549,1.42695,0.63131,0.58717,0.62345,0.31109,1.68439,1.38072,1.51459,0.0001585,0.0001585,0.0001585
19,1081.72,1.51607,1.21265,1.42828,0.61714,0.58918,0.59817,0.28867,1.76002,1.38955,1.53997,0.000109,0.000109,0.000109
20,1146.19,1.48737,1.1844,1.39742,0.635,0.59965,0.63863,0.32301,1.67338,1.32695,1.48051,5.95e-05,5.95e-05,5.95e-05
